NCIC,AgencyName,ComplaintYear,TotalComplaintsReported,NonCriminalReported,MisdemeanorReported,FelonyReported,TotalComplaintsInDetentionReported,NonCriminalInDetentionReported,MisdemeanorInDetentionReported,FelonyInDetentionReported,TotalRacialProfilingComplaintsReported,RaceEthnicityReported,NationalityReported,GenderReported,AgeReported,ReligionReported,GenderIdentityExpressionReported,SexualOrientationReported,MentalDisabilityReported,PhysicalDisabilityReported,TotalComplaintsSustained,NonCriminalSustained,MisdemeanorSustained,FelonySustained,TotalComplaintsInDetentionSustained,NonCriminalInDetentionSustained,MisdemeanorInDetentionSustained,FelonyInDetentionSustained,TotalRacialProfilingComplaintsSustained,RaceEthnicitySustained,NationalitySustained,GenderSustained,AgeSustained,ReligionSustained,GenderIdentityExpressionSustained,SexualOrientationSustained,MentalDisabilitySustained,PhysicalDisabilitySustained,TotalComplaintsExonerated,NonCriminalExonerated,MisdemeanorExonerated,FelonyExonerated,TotalComplaintsInDetentionExonerated,NonCriminalInDetentionExonerated,MisdemeanorInDetentionExonerated,FelonyInDetentionExonerated,TotalRacialProfilingComplaintsExonerated,RaceEthnicityExonerated,NationalityExonerated,GenderExonerated,AgeExonerated,ReligionExonerated,GenderIdentityExpressionExonerated,SexualOrientationExonerated,MentalDisabilityExonerated,PhysicalDisabilityExonerated,TotalComplaintsNotSustained,NonCriminalNotSustained,MisdemeanorNotSustained,FelonyNotSustained,TotalComplaintsInDetentionNotSustained,NonCriminalInDetentionNotSustained,MisdemeanorInDetentionNotSustained,FelonyInDetentionNotSustained,TotalRacialProfilingComplaintsNotSustained,RaceEthnicityNotSustained,NationalityNotSustained,GenderNotSustained,AgeNotSustained,ReligionNotSustained,GenderIdentityExpressionNotSustained,SexualOrientationNotSustained,MentalDisabilityNotSustained,PhysicalDisabilityNotSustained,TotalComplaintsUnfounded,NonCriminalUnfounded,MisdemeanorUnfounded,FelonyUnfounded,TotalComplaintsInDetentionUnfounded,NonCriminalInDetentionUnfounded,MisdemeanorInDetentionUnfounded,FelonyInDetentionUnfounded,TotalRacialProfilingComplaintsUnfounded,RaceEthnicityUnfounded,NationalityUnfounded,GenderUnfounded,AgeUnfounded,ReligionUnfounded,GenderIdentityExpressionUnfounded,SexualOrientationUnfounded,MentalDisabilityUnfounded,PhysicalDisabilityUnfounded,TotalComplaintsPending,NonCriminalPending,MisdemeanorPending,FelonyPending,TotalComplaintsInDetentionPending,NonCriminalInDetentionPending,MisdemeanorInDetentionPending,FelonyInDetentionPending,TotalRacialProfilingComplaintsPending,RaceEthnicityPending,NationalityPending,GenderPending,AgePending,ReligionPending,GenderIdentityExpressionPending,SexualOrientationPending,MentalDisabilityPending,PhysicalDisabilityPending,NoComplaintsFiled
0100,Alameda County Sheriff's Department,2016,49,49,0,0,164,164,0,0,8,4,2,1,0,0,1,0,0,0,7,7,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,16,0,0,130,130,0,0,3,2,1,0,0,0,0,0,0,0,25,25,0,0,3,3,0,0,3,1,1,0,0,0,1,0,0,0,FALSE
0101,Alameda Police Department,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0102,Albany Police Department,2016,5,5,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE
0103,Berkeley Police Department,2016,41,40,1,0,1,1,0,0,15,10,0,2,2,0,0,0,1,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,20,20,0,0,0,0,0,0,9,6,0,2,1,0,0,0,0,0,10,9,1,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,FALSE
0104,Emeryville Police Department,2016,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0105,Fremont Police Department,2016,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0106,Hayward Police Department,2016,14,14,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0107,Livermore Police Department,2016,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0108,Newark Police Department,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
0109,Oakland Police Department,2016,1197,1173,13,11,0,0,0,0,41,32,2,0,1,0,0,2,4,0,134,131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,216,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,68,1,4,0,0,0,0,2,1,0,0,0,0,0,0,1,0,501,494,4,3,0,0,0,0,20,17,0,0,1,0,0,1,1,0,794,789,3,2,0,0,0,0,15,11,2,0,0,0,0,0,2,0,FALSE
