offense_code,summary_code,summary_offense_type,offense_category,before_2014
1,68,Truancy,Status,0
1,68,Truancy,Status,1
2,69,Runaway,Status,0
2,69,Runaway,Status,1
3,70,Curfew,Status,0
3,70,Curfew,Status,1
4,72,Other Stat Offenses,Status,0
4,72,Other Stat Offenses,Status,1
6,72,Other Stat Offenses,Status,0
6,72,Other Stat Offenses,Status,1
7,71,Incorrigible,Status,0
7,71,Incorrigible,Status,1
9,72,Other Stat Offenses,Status,0
9,72,Other Stat Offenses,Status,1
11,72,Other Stat Offenses,Status,0
11,72,Other Stat Offenses,Status,1
16,60,Highway,Misdemeanor,0
16,60,Highway,Misdemeanor,1
17,67,Probation/Parole,Other,0
17,67,Probation/Parole,Other,1
18,67,Probation/Parole,Other,0
18,67,Probation/Parole,Other,1
26,40,Lewd Conduct,Misdemeanor,0
26,40,Lewd Conduct,Misdemeanor,1
27,60,Fail to Register,Misdemeanor,0
27,60,Fail to Register,Misdemeanor,1
28,41,Prostitution,Misdemeanor,0
28,41,Prostitution,Misdemeanor,1
36,46,Disturbing the Peace,Misdemeanor,0
36,46,Disturbing the Peace,Misdemeanor,1
46,43,Drunk,Misdemeanor,0
46,43,Drunk,Misdemeanor,1
47,65,Civil Drunk,Other,0
47,65,Civil Drunk,Other,1
48,60,Other,Misdemeanor,0
48,60,Other,Misdemeanor,1
49,60,Other,Misdemeanor,0
49,60,Other,Misdemeanor,1
56,46,Disturbing the Peace,Misdemeanor,0
56,46,Disturbing the Peace,Misdemeanor,1
57,45,Disorderly Conduct,Misdemeanor,0
57,45,Disorderly Conduct,Misdemeanor,1
58,60,Public Nuisance,Misdemeanor,0
58,60,Public Nuisance,Misdemeanor,1
59,57,Glue Sniffing,Misdemeanor,0
59,57,Glue Sniffing,Misdemeanor,1
63,25,Malicious Mischief,Felony,0
63,25,Malicious Mischief,Felony,1
64,25,Malicious Mischief,Felony,0
64,25,Malicious Mischief,Felony,1
65,27,Outside Warrant,Other,0
65,27,Outside Warrant,Other,1
66,47,Vandalism,Misdemeanor,1
