ORI_Number,Agency
CA0010000,Alameda County Sheriff's Department
CA0010100,Alameda Police Department
CA001013G,Alameda County Probation Department
CA0010200,Albany Police Department
CA0010400,Emeryville Police Department
CA0010500,Fremont Police Department
CA0010700,Livermore Police Department
CA0010800,Newark Police Department
CA0010900,Oakland Police Department
CA0011100,Pleasanton Police Department
CA0011200,San Leandro Police Department
CA0011300,Union City Police Department
CA0011400,East Bay Regional Park Police Department
CA0011500,CSU Hayward Police Department
CA0012100,Bay Area Rapid Transit Police Department
CA0013300,Oakland Housing Authority
CA0010600,Hayward Police Department
CA0030000,Amador County Sheriff's Department
CA003013A,Amador County District Attorney's Office
CA003013G,Amador County Probation Department
CA0040000,Butte County Sheriff's Department
CA004013A,Butte County District Attorney's Office
CA004013G,Butte County Probation Department
CA0040200,Chico Police Department
CA0040300,Gridley-Biggs Police Department
CA0040400,Oroville Police Department
CA0040500,Paradise Police Department
CA0041100,Butte Community College Police Department
CA0049700,CSU Chico Police Department
CA0050000,Calaveras County Sheriff's Department
CA0050100,Angels Camp Police Department
CA005013A,Calaveras County District Attorney's Office
CA005013G,Calaveras County Probation Department
CA0060100,Colusa Police Department
CA006013A,Colusa County District Attorney's Office
CA006013G,Colusa County Probation Department
CA0060200,Williams Police Department
CA0070000,Contra Costa County Sheriff's Department
CA0070100,Antioch Police Department
CA007013G,Contra Costa County Probation Department
CA0070200,Brentwood Police Department
CA0070400,Concord Police Department
CA0070500,El Cerrito Police Department
CA0070600,Hercules Police Department
CA0070700,Pinole Police Department
CA0070800,Pittsburg Police Department
CA0070900,Pleasant Hill Police Department
CA0071000,Richmond Police Department
CA0071200,Walnut Creek Police Department
CA0071400,Martinez Police Department
CA0071600,Moraga Police Department
CA0072100,Contra Costa Community College Police Department
CA0073400,Oakley Police Department
CA0074000,San Ramon Police Department
CA0080100,Crescent City Police Department
CA008013G,Del Norte County Probation
CA0090000,El Dorado County Sheriff's Department
CA0090100,Placerville Police Department
CA009013A,El Dorado County District Attorney's Office
CA009013G,El Dorado County Probation Department
CA0090200,South Lake Tahoe Police Department
CA0100000,Fresno County Sheriff's Department
CA0100100,Clovis Police Department
CA010013G,Fresno County Probation Department
CA0100200,Coalinga Police Department
CA010023A,Fresno County District Attorney's Office
CA0100300,Firebaugh Police Department
CA0100400,Fowler Police Department
CA0100500,Fresno Police Department
CA0100600,Huron Police Department
CA0100700,Kerman Police Department
CA0100800,Kingsburg Police Department
CA0100900,Mendota Police Department
CA0101000,Orange Cove Police Department
CA0101100,Parlier Police Department
CA0101200,Reedley Police Department
CA0101300,Sanger Police Department
CA0101500,Selma Police Department
CA0109700,CSU Fresno Police Department
CA0110100,Orland Police Department
CA011013G,Glenn County Probation Department
CA0120000,Humboldt County Sheriff's Department
CA0120100,Arcata Police Department
CA012013G,Humboldt County Probation Department
CA0120300,Eureka Police Department
CA0120400,Ferndale Police Department
CA0120800,CSU Humboldt Police Department
CA0130000,Imperial County Sheriff's Department
CA0130100,Brawley Police Department
CA013023G,Imperial County Probation Department
CA0130400,El Centro Police Department
CA0130600,Imperial Police Department
CA0140000,Inyo County Sheriff's Department
CA0140100,Bishop Police Department
CA014013G,Inyo County Probation Department
CA0150000,Kern County Sheriff's Department
CA015013A,Kern County District Attorney's Office
CA015013G,Kern County County Probation
CA0150200,Bakersfield Police Department
CA0150300,Delano Police Department
CA0150600,Ridgecrest Police Department
CA0150700,Shafter Police Department
CA0150800,Taft Police Department
CA0150900,Tehachapi Police Department
CA0151400,Stallion Springs Police Department
CA0151500,Bear Valley Police Department
CA0160000,Kings County Sheriff's Dept.
CA016013G,Kings County Probation Department
CA0160200,Hanford Police Department
CA0160300,Lemoore Police Department
CA0170000,Lake County Sheriff's Department
CA017013G,Lake County Probation Department
CA0170200,Clearlake Police Department
CA0180000,Lassen County Sheriff's Department
CA0180100,Susanville Police Department
CA018013A,Lassen County District Attorney's Office
CA018013G,Lassen County Probation Department
CA0190000,Los Angeles County Sheriff's Dept.
CA0190100,Alhambra Police Department
CA0190200,Arcadia Police Department
CA0190500,Azusa Police Department
CA0190600,Baldwin Park Police Department
CA0190700,Bell Police Department
CA0190900,Bell Gardens Police Department
CA0190B00,Los Angeles Unified School District
CA0190C00,El Camino College Police Department
CA0190J00,Los Angeles World Airport Police Department
CA0190R00,Pasadena Community College Police Department
CA0191000,Beverly Hills Police Department
CA019105Y,CA Franchise Tax Board - Investigations
CA0191200,Burbank Police Department
CA0191300,Claremont Police Department
CA0191600,Covina Police Department
CA0191800,Culver City Police Department
CA0192000,Downey Police Department
CA0192200,El Monte Police Department
CA0192300,El Segundo Police Department
CA0192400,Gardena Police Department
CA0192500,Glendale Police Department
CA0192600,Glendora Police Department
CA0192800,Hawthorne Police Department
CA0192900,Hermosa Beach Police Department
CA0193100,Huntington Park Police Department
CA0193300,Inglewood Police Department
CA0193400,Irwindale Police Department
CA0193800,La Verne Police Department
CA0193I00,Glendale Community College Police Department 
CA0194100,Long Beach Police Department
CA0194200,Los Angeles Police Department
CA0194400,Manhattan Beach Police Department
CA0194600,Monrovia Police Department
CA0194700,Montebello Police Department
CA0194800,Monterey Park Police Department
CA0195300,Pasadena Police Department
CA0195500,Pomona Police Department
CA0195600,Redondo Beach Police Department
CA0196100,San Fernando Police Department
CA0196200,San Gabriel Police Department
CA0196500,Santa Monica Police Department
CA0196600,Sierra Madre Police Department
CA0196700,Signal Hill Police Department
CA0196900,South Gate Police Department
CA0197000,South Pasadena Police Department
CA0197200,Torrance Police Department
CA0197300,Vernon Police Department
CA0197500,West Covina Police Department
CA0197600,Whittier Police Department
CA0197800,Cal Poly - Pomona Police Department
CA0198100,CSU Dominguez Hills Police Department
CA0198200,CSU Long Beach Police Department
CA0198400,CSU Northridge Police Department
CA0198800,Los Angeles Harbor Port Police Department
CA0199700,UC Los Angeles Police Department
CA019A700,Long Beach Fire Department - Investigations
CA019A800,Santa Monica College Police Department
CA0200000,Madera County Sheriff's Department
CA0200100,Chowchilla Police Department
CA020013G,Madera County Probation Department
CA0200200,Madera Police Department
CA0210100,Belvedere Police Department
CA021013A,Marin County District Attorney's Office
CA021013G,Marin County Probation Department
CA0210300,Fairfax Police Department
CA0210500,Mill Valley Police Department
CA0210700,Ross Police Department
CA0211000,Sausalito Police Department
CA0220000,Mariposa County Sheriff's Department
CA022013G,Mariposa County Probation Department
CA0230000,Mendocino County Sheriff's Department
CA0230100,Fort Bragg Police Department
CA023013A,Mendocino County District Attorney's Office
CA023013G,Mendocino County Probation Department
CA0230300,Ukiah Police Department
CA0230400,Willits Police Department
CA0240000,Merced County Sheriff's Department
CA024013A,Merced County District Attorney's Office
CA024013G,Merced County Probation Department
CA0240200,Dos Palos Police Department
CA0240300,Gustine Police Department
CA0240400,Livingston Police Department
CA0240500,Los Banos Police Department
CA0240600,Merced Police Department
CA0250000,Modoc County Sheriff's Department
CA0250100,Alturas Police Department
CA025013G,Modoc County Probation Department
CA0260000,Mono County Sheriff's Department
CA0260100,Mammoth Lakes Police Department 
CA026013G,Mono County Probation Department
CA0270000,Monterey County Sheriff's Department
CA0270100,Carmel Police Department
CA027013G,Monterey County Probation Department
CA0270300,Gonzales Police Department
CA0270500,King City Police Department
CA0270600,Monterey Police Department
CA0270700,Pacific Grove Police Department
CA0270800,Salinas Police Department
CA0270900,Sand City Police Department
CA0271100,Soledad Police Department
CA0271200,Marina Police Department
CA0271900,CSU Monterey Bay Police Department
CA0280000,Napa County Sheriff's Office
CA0280100,Calistoga Police Department
CA028013A,Napa County District Attorney's Office
CA028033G,Napa County Probation Department
CA0280200,Napa Police Department
CA0280300,St. Helena Police Department
CA0280900,Napa Valley College Police Department
CA0290000,Nevada County Sheriff's Department
