District,Representative,Party,Prior experience,Education,Assumed office,Residence,Born
Alabama 1,"Byrne, BradleyBradley Byrne",,Republican,"Alabama Senate, Alabama State Board of Education","Duke University
 University of Alabama",2013,Fairhope,1955
Alabama 2,"Roby, MarthaMartha Roby",,Republican,Montgomery City Council,"New York University
 Cumberland School of Law",2011,Montgomery,1976
Alabama 3,"Rogers, MikeMike Rogers",,Republican,"Calhoun County Commissioner, Alabama House of Representatives","Jacksonville State University
 Birmingham School of Law",2003,Saks,1958
Alabama 4,"Aderholt, RobertRobert Aderholt",,Republican,Haleyville Municipal Judge,"Birmingham–Southern College
 Samford University",1997,Haleyville,1965
Alabama 5,"Brooks, MoMo Brooks",,Republican,"Alabama House of Representatives, Madison County Commissioner","Duke University
 University of Alabama",2011,Huntsville,1954
Alabama 6,"Palmer, GaryGary Palmer",,Republican,Policy analyst,University of Alabama,2015,Hoover,1954
Alabama 7,"Sewell, TerriTerri Sewell",,Democratic,Attorney,"Princeton University
 Harvard Law School
 University of Oxford",2011,Birmingham,1965
Alaska At Large,"Young, DonDon Young",,Republican,"Alaska Senate, Ship captain, Mayor of Fort Yukon, Alaska","California State University, Chico",1973*,Fort Yukon,1933
Arizona 1,"O'Halleran, TomTom O'Halleran",,Democratic,Arizona Senate,"Lewis University
 DePaul University",2017,Sedona,1946
Arizona 2,"McSally, MarthaMartha McSally",,Republican,USAF Colonel,United States Air Force Academy,2015,Tucson,1966
Arizona 3,"Grijalva, RaúlRaúl Grijalva",,Democratic,Pima County Board of Supervisors,University of Arizona,2003,Tucson,1948
Arizona 4,"Gosar, PaulPaul Gosar",,Republican,President of the Northern Arizona Dental Society,"Creighton University
 Creighton University School of Dentistry",2011,Prescott,1958
Arizona 5,"Biggs, AndyAndy Biggs",,Republican,Arizona Senate,"Arizona State University
 Brigham Young University, University of Arizona",2017,Gilbert,1958
Arizona 6,"Schweikert, DavidDavid Schweikert",,Republican,"Arizona House of Representatives, Arizona Board of Education, Arizona Board of Equalization, Maricopa County Treasurer",Arizona State University,2011,Scottsdale,1962
Arizona 7,"Gallego, RubenRuben Gallego",,Democratic,Arizona House of Representatives,Harvard University,2015,Phoenix,1979
Arizona 8,Vacant,,,,,,,
Arizona 9,"Sinema, KyrstenKyrsten Sinema",,Democratic,"Arizona Senate, Arizona House of Representatives","Brigham Young University
 Arizona State University",2013,Phoenix,1976
Arkansas 1,"Crawford, RickRick Crawford",,Republican,"Broadcaster, Businessman",Arkansas State University,2011,Jonesboro,1966
Arkansas 2,"Hill, FrenchFrench Hill",,Republican,Businessman,"Vanderbilt University
 UCLA Anderson School of Management",2015,Little Rock,1956
Arkansas 3,"Womack, SteveSteve Womack",,Republican,"Mayor of Rogers, Arkansas",Arkansas Tech University,2011,Rogers,1957
Arkansas 4,"Westerman, BruceBruce Westerman",,Republican,Arkansas House of Representatives,"University of Arkansas
 Yale University",2015,Hot Springs,1967
California 1,"LaMalfa, DougDoug LaMalfa",,Republican,"California State Senate, California State Assembly",California Polytechnic State University,2013,Richvale,1960
California 2,"Huffman, JaredJared Huffman",,Democratic,California State Assembly,"University of California, Santa Barbara
 Boston College Law School",2013,San Rafael,1964
California 3,"Garamendi, JohnJohn Garamendi",,Democratic,"Lieutenant Governor of California, United States Deputy Secretary of the Interior, California Insurance Commissioner, California State Senate, California State Assembly","University of California, Berkeley
 Harvard Business School",2009*,Walnut Grove,1945
California 4,"McClintock, TomTom McClintock",,Republican,"California Senate, California State Assembly","University of California, Los Angeles",2009,Elk Grove,1956
California 5,"Thompson, MikeMike Thompson",,Democratic,California State Senate,"California State University, Chico",1999,St. Helena,1951
California 6,"Matsui, DorisDoris Matsui",,Democratic,"Sacramento, California City Council","University of California, Berkeley",2005*,Sacramento,1944
California 7,"Bera, AmiAmi Bera",,Democratic,"Chief Medical Officer of Sacramento County, California","University of California, Irvine",2013,Elk Grove,1965
California 8,"Cook, PaulPaul Cook",,Republican,California State Assembly,"Southern Connecticut State University
 California State University, San Bernardino
 University of California, Riverside",2013,Yucca Valley,1943
California 9,"McNerney, JerryJerry McNerney",,Democratic,Engineering executive,University of New Mexico,2007,Stockton,1951
California 10,"Denham, JeffJeff Denham",,Republican,California State Senate,California Polytechnic State University,2011,Atwater,1967
California 11,"DeSaulnier, MarkMark DeSaulnier",,Democratic,"California State Senate, California State Assembly, Contra Costa County Board of Supervisors",College of the Holy Cross,2015,Concord,1952
California 12,"Pelosi, NancyNancy Pelosi",,Democratic,"Current House Minority Leader
 Northern California Democratic Party Chairwoman",Trinity Washington University,1987*,San Francisco,1940
California 13,"Lee, BarbaraBarbara Lee",,Democratic,California State Assembly,"Mills College
 University of California, Berkeley",1998*,Oakland,1946
California 14,"Speier, JackieJackie Speier",,Democratic,"California State Senate, California State Assembly, San Mateo County Board of Supervisors","University of California, Davis
 UC, Hastings Law",2008*,Hillsborough,1950
California 15,"Swalwell, EricEric Swalwell",,Democratic,Dublin City Council,"University of Maryland, College Park
 University of Maryland School of Law",2013,Dublin,1980
California 16,"Costa, JimJim Costa",,Democratic,"California State Senate, California State Assembly","California State University, Fresno",2005,Fresno,1952
California 17,"Khanna, RoRo Khanna",,Democratic,"Lawyer, author, educator","University of Chicago, Yale Law School",2017,Fremont,1976
California 18,"Eshoo, AnnaAnna Eshoo",,Democratic,San Mateo County Board of Supervisors,"Cañada College
 Menlo College",1993,Atherton,1942
California 19,"Lofgren, ZoeZoe Lofgren",,Democratic,Santa Clara County Board of Supervisors,"Stanford University
 Santa Clara University",1995,San Jose,1947
California 20,"Panetta, JimmyJimmy Panetta",,Democratic,Deputy district attorney of Monterey County,"Monterey Peninsula College
 Santa Clara University
 University of California, Davis",2017,Carmel Valley,1969
California 21,"Valadao, DavidDavid Valadao",,Republican,California State Assembly,College of the Sequoias,2013,Hanford,1977
California 22,"Nunes, DevinDevin Nunes",,Republican,California State Director for the United States Department of Agriculture's Rural Development Section,"College of the Sequoias
 Cal Poly University, San Luis Obispo",2003,Tulare,1973
California 23,"McCarthy, KevinKevin McCarthy",,Republican,"Current House Majority Leader
 California State Assembly","California State University, Bakersfield",2007,Bakersfield,1965
California 24,"Carbajal, SaludSalud Carbajal",,Democratic,"Santa Barbara County, California Board of Supervisors","Fielding Graduate University
 University of California, Santa Barbara",2017,Santa Barbara,1964
California 25,"Knight, SteveSteve Knight",,Republican,"California State Senate, California State Assembly, Palmdale City Council",Antelope Valley College,2015,Palmdale,1966
California 26,"Brownley, JuliaJulia Brownley",,Democratic,California State Assembly,"George Washington University
 American University",2013,Oak Park,1952
